oid,candid,mjd,fid,pid,diffmaglim,isdiffpos,nid,ra,dec,magpsf,sigmapsf,magap,sigmagap,distnr,rb,rbversion,drb,drbversion,magapbig,sigmagapbig,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,corrected,dubious,parent_candid,has_stamp,step_id_corr
ZTF17aaadosl,964329891715010003,58718.32989579998,2,964329891715,20.382269,-1,964,311.627389,4.3494929,17.74693,0.11261147,17.8473,0.0474,0.03999121,0.8642857,t17_f5_c3,0.99668735,d6_m7,17.835,0.0563,491120217,15.750174,100.0,0.01790113,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,967242951715015011,58721.24295140011,1,967242951715,19.623352,1,967,311.6274159,4.3494228,15.839916,0.06005167,15.8367,0.0134,0.2804555,0.6957143,t17_f5_c3,0.9991461,d6_m7,15.8143,0.0154,491120117,15.080864,0.027069226,0.029847234,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,971189831715010007,58725.18983800011,1,971189831715,20.523428,-1,971,311.6274148,4.3495208,17.224009,0.08221333,17.1397,0.0219,0.08112267,0.86142856,t17_f5_c3,0.999965,d6_m7,17.1144,0.0254,491120117,16.177927,100.0,0.031369653,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,978233061715010003,58732.233067099936,2,978233061715,20.294275,-1,978,311.6274425,4.3495507,17.687332,0.11329079,17.6955,0.0455,0.2955707,0.76285714,t17_f5_c3,0.9216465,d6_m7,17.6525,0.053,491120217,15.759956,100.0,0.01919748,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,978303281715015003,58732.30328699993,1,978303281715,20.417664,1,978,311.6274028,4.3494274,15.95723,0.04792566,16.0095,0.0099,0.2646225,0.88,t17_f5_c3,0.9973388,d6_m7,16.0013,0.011,491120117,15.1375885,0.018219633,0.022527425,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,982372381715010001,58736.37238429999,2,982372381715,18.960865,-1,982,311.6273821,4.3494819,17.04482,0.05220045,17.1741,0.0616,0.04619535,0.94857144,t17_f5_c3,0.9999723,d6_m7,17.1265,0.0749,491120217,15.919654,100.0,0.01851858,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,989207971715010004,58743.20797450002,1,989207971715,19.785902,-1,989,311.6274128,4.3494893,17.066849,0.090536855,16.8934,0.0294,0.043462966,0.8642857,t17_f5_c3,0.9999548,d6_m7,16.8468,0.0352,491120117,16.244448,0.021294035,0.042448763,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,993277301715010010,58747.277303200215,1,993277301715,20.073479,-1,993,311.6273836,4.3494699,16.926123,0.074633,16.8344,0.0212,0.13818766,0.92714286,t17_f5_c3,0.9999403,d6_m7,16.8098,0.0254,491120117,16.317284,0.016509386,0.042598628,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,996208261715015003,58750.20826390013,1,996208261715,19.597479,1,996,311.6273958,4.3493921,17.270916,0.07870371,17.3776,0.032,0.389489,0.6085714,t17_f5_c3,0.99321365,d6_m7,17.3416,0.0367,491120117,15.572199,100.0,0.01646297,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1003190981715010009,58757.19098380022,1,1003190981715,20.556114,-1,1003,311.6274003,4.3495024,17.32114,0.11822469,17.1112,0.0209,0.011262698,0.79714286,t17_f5_c3,0.9999605,d6_m7,17.0882,0.0242,491120117,16.143042,0.02183916,0.039945565,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1006253341715010008,58760.253344899975,2,1006253341715,20.247118,-1,1006,311.6272944,4.3495283,18.544731,0.20491037,18.4229,0.0867,0.39395368,0.61142856,t17_f5_c3,0.8114531,d6_m7,18.4257,0.1054,491120217,15.663878,100.0,0.014428558,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1013185691715010005,58767.18569440022,2,1013185691715,18.927258,-1,1013,311.627422,4.3494569,17.181093,0.0552455,17.2788,0.057,0.1310684,0.9057143,t17_f5_c3,0.99976313,d6_m7,17.2725,0.0718,491120217,15.875146,100.0,0.01659274,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1016113281715015001,58770.113286999986,1,1016113281715,19.517849,1,1016,311.6274083,4.3494149,16.35737,0.06056061,16.4534,0.0259,0.31885618,0.9142857,t17_f5_c3,0.9865892,d6_m7,16.4535,0.0323,491120117,15.307542,0.017036388,0.02302814,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1016241431715010005,58770.241435199976,2,1016241431715,19.192171,-1,1016,311.6273979,4.3494566,18.166378,0.12074351,17.9439,0.1157,0.086815275,0.86285716,t17_f5_c3,0.9996022,d6_m7,18.006,0.1555,491120217,15.696229,100.0,0.012410924,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1019184711715015002,58773.18471059995,1,1019184711715,19.543638,1,1019,311.6274205,4.3494255,16.25075,0.057353374,16.2917,0.0214,0.2732397,0.79,t17_f5_c3,0.99934983,d6_m7,16.2814,0.0261,491120117,15.265757,0.017710917,0.02315057,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1023095491715010007,58777.09549769992,2,1023095491715,19.99752,-1,1023,311.6273438,4.3494488,17.827618,0.11717168,17.7811,0.0522,0.20164491,0.7557143,t17_f5_c3,0.99983716,d6_m7,17.7204,0.0603,491120217,15.737882,100.0,0.017097335,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1027100131715015002,58781.10013889987,2,1027100131715,19.794445,1,1027,311.6274264,4.349408,16.10883,0.037492555,16.1378,0.0134,0.27637058,0.92,t17_f5_c3,0.99999046,d6_m7,16.1205,0.0156,491120217,15.066139,0.008270532,0.014350557,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1027123071715015007,58781.123078700155,1,1027123071715,19.905703,1,1027,311.6273741,4.3493891,16.197008,0.049757246,16.2732,0.0127,0.4150275,0.81714284,t17_f5_c3,0.99973667,d6_m7,16.2698,0.0148,491120117,15.243743,0.014636336,0.020679982,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1031084321715010005,58785.08432869986,2,1031084321715,19.81954,-1,1031,311.6274149,4.3494457,17.028755,0.049170002,17.0497,0.0321,0.13883588,0.93714285,t17_f5_c3,0.9999415,d6_m7,17.0242,0.0391,491120217,15.925411,100.0,0.01779765,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1035184891715010011,58789.18489579996,1,1035184891715,19.920416,-1,1035,311.6274004,4.3494734,17.459759,0.12565325,17.3441,0.0361,0.09992903,0.86285716,t17_f5_c3,0.99987125,d6_m7,17.3082,0.0431,491120117,16.09994,0.016012387,0.035912503,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1038099131715015002,58792.099131899886,1,1038099131715,19.522615,1,1038,311.6274066,4.3494186,15.682826,0.055707205,15.6603,0.0121,0.29326674,0.7385714,t17_f5_c3,0.99974793,d6_m7,15.6355,0.0145,491120117,14.999947,0.027310872,0.029700214,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1038125721715015000,58792.125729199965,2,1038125721715,19.4807,1,1038,311.6273845,4.3494226,16.3237,0.05268,16.2917,0.0228,0.211546,0.658571,t17_f5_c3,,,16.275,0.0279,491120217,15.143444,0.012529101,0.017764103,True,False,1041086251715010004,False,corr_bulk_0.0.1
ZTF17aaadosl,1041086251715010004,58795.08625000017,2,1041086251715,19.630575,-1,1041,311.6273846,4.349472,17.17191,0.05002599,17.1844,0.0434,0.035818465,0.94142854,t17_f5_c3,0.999501,d6_m7,17.1864,0.0546,491120217,15.87792,100.0,0.01519147,True,False,0,True,corr_bulk_0.0.1
