oid,flat_base,flat_abl,top_base,top_abl
ZTF18achtekr,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18achtjxr,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18achtktf,LPV,CEP,Periodic,Periodic
ZTF18achtoif,QSO,CV/Nova,Stochastic,Stochastic
ZTF18achtqia,LPV,CV/Nova,Periodic,Stochastic
ZTF18achutzd,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18achuuif,CEP,CV/Nova,Periodic,Periodic
ZTF18achxcpf,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18achxqdo,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18achxqpu,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18achxsns,RSCVn,YSO,Periodic,Stochastic
ZTF18achygku,YSO,YSO,Periodic,Stochastic
ZTF18achynug,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18achywqh,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18achzjfd,RSCVn,RSCVn,Periodic,Stochastic
ZTF18acidaxl,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18acigkpx,RSCVn,YSO,Periodic,Stochastic
ZTF18acijmfz,LPV,YSO,Periodic,Stochastic
ZTF18acinhsa,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acipjki,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aciptkm,Periodic-Other,Microlensing,Periodic,Stochastic
ZTF18acireec,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acisrpv,EA,CV/Nova,Periodic,Periodic
ZTF18acivlbe,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acivobj,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aciwofj,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acixwea,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18aciyrtf,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acizoxh,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acjajhu,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acjedwe,CV/Nova,CV/Nova,Periodic,Stochastic
