feature,feature_id,band,band_label,pct_missing_2-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50-99,pct_missing_100+
Harmonics_mag_3,47,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_mag_4,49,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_mag_4,49,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_mag_5,51,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_mag_5,51,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_mag_6,53,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_mag_6,53,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_mag_7,55,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_mag_7,55,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_mse,42,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_mse,42,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_phase_2,46,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_phase_2,46,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_phase_3,48,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_phase_3,48,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_phase_4,50,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_phase_4,50,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_phase_5,52,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_phase_5,52,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_phase_6,54,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_phase_6,54,2,r,95.19,78.06,55.56,33.54,13.52,4.93
Harmonics_phase_7,56,1,g,94.82,76.77,53.67,28.22,11.08,3.15
Harmonics_phase_7,56,2,r,95.19,78.06,55.56,33.54,13.52,4.93
IAR_phi,81,1,g,100.0,98.83,82.6,41.27,19.56,6.9
IAR_phi,81,2,r,100.0,98.13,80.85,49.31,21.24,6.07
LinearTrend,82,1,g,100.0,98.83,82.6,41.27,19.56,6.9
LinearTrend,82,2,r,100.0,98.13,80.85,49.31,21.24,6.07
MHPS_PN_flag,24,1,g,99.97,98.88,91.03,65.69,37.28,9.57
MHPS_PN_flag,24,2,r,99.89,97.64,88.3,66.72,36.21,10.05
MHPS_high,22,1,g,99.97,98.88,91.14,65.86,37.59,9.81
MHPS_high,22,2,r,99.89,97.64,88.49,66.85,36.36,10.05
MHPS_high_30,27,1,g,99.97,98.88,91.14,65.86,37.36,9.81
MHPS_high_30,27,2,r,99.89,97.64,88.49,66.85,36.36,10.05
MHPS_low,21,1,g,99.97,98.88,91.14,65.82,37.59,9.77
MHPS_low,21,2,r,99.89,97.64,88.49,66.77,36.21,10.05
MHPS_low_365,26,1,g,99.97,98.88,91.14,65.77,37.28,9.77
MHPS_low_365,26,2,r,99.89,97.64,88.47,66.77,36.21,10.05
MHPS_non_zero,23,1,g,99.97,98.88,91.03,65.69,37.28,9.57
MHPS_non_zero,23,2,r,99.89,97.64,88.3,66.72,36.21,10.05
MHPS_ratio,20,1,g,99.97,98.88,91.14,65.86,37.59,9.81
MHPS_ratio,20,2,r,99.89,97.64,88.49,66.85,36.36,10.05
MHPS_ratio_365_30,25,1,g,99.97,98.88,91.14,65.86,37.36,9.81
MHPS_ratio_365_30,25,2,r,99.89,97.64,88.49,66.85,36.36,10.05
MaxSlope,64,1,g,100.0,98.83,82.6,41.27,19.56,6.9
MaxSlope,64,2,r,100.0,98.13,80.85,49.31,21.24,6.07
