feature,feature_id,band,band_label,pct_missing_0,pct_missing_1-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50+
median_brightness_after_band,111,1,g,74.02,53.84,22.8,13.37,9.31,4.32
median_brightness_after_band,111,2,r,75.52,53.96,23.22,16.24,11.97,4.56
median_brightness_before_band,108,1,g,74.31,82.16,90.12,91.3,95.43,99.25
median_brightness_before_band,108,2,r,74.93,80.5,88.37,90.76,95.72,99.21
n_forced_phot_band_after,109,1,g,53.64,42.72,20.78,12.67,9.07,4.32
n_forced_phot_band_after,109,2,r,56.66,41.77,21.51,15.92,11.79,4.56
n_forced_phot_band_before,103,1,g,53.64,42.72,20.78,12.67,9.07,4.32
n_forced_phot_band_before,103,2,r,56.66,41.77,21.51,15.92,11.79,4.56
positive_fraction,102,1,g,100.0,13.62,3.41,1.23,0.3,0.17
positive_fraction,102,2,r,100.0,26.77,9.8,5.61,0.98,0.04
ulens_chi,115,1,g,77.03,54.83,20.63,7.36,3.8,1.09
ulens_chi,115,2,r,77.97,57.51,26.8,10.58,3.79,0.67
ulens_fs,114,1,g,75.05,51.9,16.83,6.54,3.32,1.01
ulens_fs,114,2,r,76.19,54.06,22.71,9.24,3.48,0.67
ulens_mag0,117,1,g,75.05,51.9,16.83,6.54,3.32,1.01
ulens_mag0,117,2,r,76.19,54.06,22.71,9.24,3.48,0.67
ulens_t0,116,1,g,75.05,51.9,16.83,6.54,3.32,1.01
ulens_t0,116,2,r,76.19,54.06,22.71,9.24,3.48,0.67
ulens_tE,113,1,g,75.05,51.9,16.83,6.54,3.32,1.01
ulens_tE,113,2,r,76.19,54.06,22.71,9.24,3.48,0.67
ulens_u0,112,1,g,75.05,51.9,16.83,6.54,3.32,1.01
ulens_u0,112,2,r,76.19,54.06,22.71,9.24,3.48,0.67
