oid,oid_kept
169342390786064464,169342390672293905
169342391201300819,169342390667575479
169342391331849418,169342390661284183
169342391212311388,169342390661284183
169342391326605374,169342390660759606
169342390787113158,169342390657614738
169342390786064495,169342390657089659
169342391326081119,169342390657089643
169342391206543453,169342390657089643
169342391464493186,169342390657089641
169342390919233641,169342390656565614
169342390784491790,169342390656565252
169342390921330896,169342390656565252
169342391203922055,169342390654468886
169342391052927108,169342390654468886
169342391188194012,169342390650798447
169342391485988942,169302854045532161
169342392043307092,169302854045532161
169342390803365927,169298437882249291
169342392843894862,169566723953393667
169364385054589006,169355603598640183
169342391498571848,169342394478624795
169562329369280585,169562329523421274
169562329549635593,169562329417515026
169562328209555491,169562328343773213
169342391683645515,169368778336894999
169364387419127825,169364386924199954
169359995942469702,169359995995947078
169359996156903495,169359995916779536
169355603756449943,169355603868647543
169355602997805212,169355602579423428
169342394590822805,169342393673318480
169355603456557184,169342393121243663
169593097350545457,169342392425512996
169342391280468727,169342392425512996
169342391131046160,169342391399481686
169342391676830590,169342391141007739
169355602671173751,169342390991585329
169342391657431046,169342390963273894
169342391117938908,169342390963273894
169355604441694776,169342390962225188
169593097509404679,169342392159174767
169342391228563566,169342391479697515
169566724091281508,169342391346528484
169342391206019210,169342391321886903
169342390671769650,169342391321886903
169342390831677504,169342391104307473
169342390702178371,169342391104307307
169342391224894139,169342391072850318
169342391626498934,169342391072850318
169342391331848208,169342391063412788
169342390656565512,169342391058694159
169342391509582141,169342390968516999
169342391104307473,169342390968516999
169342390828531721,169342390963798118
169342391253729294,169342390963798108
169342390801268826,169342390920806483
169342390724199444,169342390832726529
169342391660577603,169342390832726529
169342390943875870,169342390829580420
169342391346004160,169342390825386514
169342391098015959,169342390825386514
169342390943350919,169342390825386514
169342390920806483,169342390801268826
169342391229087797,169342390800744520
169342391340236842,169342390800744520
169342391104307307,169342390702178371
169342391235903597,169342390700605537
169342391905943728,169342390700605537
169342391232757938,169342390678585444
169342391080714325,169342390678585444
169342391210213517,169342390657089653
169342390786588782,169342390657089653
169342390718956247,169342392598528037
169342392598528037,169342390718956247
169557919450267674,169575528663089156
169355603216433427,169575528663089156
169364391030948024,169364390818611357
169355603482247907,169355603216433427
169355603351175574,169355603216433427
169364382297358382,169355602848383085
169355602539053225,169355602804867724
169355603366379947,169355602804867724
169342391816290352,169355602804867724
169342391482319364,169342394565656577
169623886102003727,169342393535955956
169342391394238482,169342391816290352
169355603366379947,169342391816290352
169355602804867724,169342391816290352
169355602395398209,169342391509582427
169342390847406371,169342391116365873
169575528742780962,169342390966943794
169342390699556900,169342390963798120
169593097352118365,169342390838493241
169623877927829518,169342390838493241
169593097301262543,169342390744645637
169342391263690758,169342390707945539
169342390963798120,169342390699556900
169342390938632206,169342390691692677
169342391341285401,169342390691692677
169342393815400516,169302854145146915
169355603897483402,169302853934383116
169302853103910941,169302853752455193
169302853752455193,169302853103910941
169368781150748683,169298438127091747
169298436938530841,169298437451808787
169355602795954295,169298437451808787
169342390972711030,169342391127376019
169562329019056170,169562329152749643
169562329152749643,169562329019056170
169355603375816919,169355603756974286
169355603396263980,169355603647922716
169342391485988942,169342392043307092
169342391323459829,169342392014471554
169342391228039263,169342391748132979
169342391077569179,169342391636459972
169342392154457119,169342391613915247
169342391207591957,169342391609196614
169342391263690801,169342391374839862
169342390828531797,169342391364354134
169342391082811411,169342391349674038
169342391479697504,169342391342858334
169342391882874983,169342391342858334
169342391228563549,169342391342858334
169342390940205071,169342391342858281
